Latitude	Longitude	Year	Month	Time	GS	Customers	Country
50.040518	9.21201	2022	2	2022-02-01	6749.9528	11	All
51.369989	5.228481	2022	11	2022-11-01	123.1403	1	NL
49.845655	8.802992	2022	11	2022-11-01	2952.882	8	DE
48.755637	0.511069	2022	3	2022-03-01	310.367	1	FR
51.447948	7.464444	2023	1	2023-01-01	650.8394	2	DE
62.105744	27.957905	2022	3	2022-03-01	150.1175	1	All
47.172571	8.109656	2022	7	2022-07-01	7149.94	18	CH
60.955769	24.585862	2022	2	2022-02-01	1948.0497	1	All
52.01359	4.750396	2022	10	2022-10-01	986.4121	1	NL
50.882076	13.04258	2022	12	2022-12-01	3685.8725	3	All
51.461396	3.556707	2022	10	2022-10-01	553.9463	1	NL
50.338092	3.019554	2022	10	2022-10-01	1241.5417	1	FR
48.682034	9.275758	2022	8	2022-08-01	1798.43	7	DE
59.983299	11.0333	2022	4	2022-04-01	5591.1352	7	NO
52.237813	5.560263	2022	9	2022-09-01	984.7529	1	NL
61.274999	7.7583	2022	7	2022-07-01	1810.3512	6	All
47.690588	10.314975	2022	2	2022-02-01	1251.4741	1	All
51.811209	5.758537	2023	1	2023-01-01	430.6219	1	NL
56.381019	10.503949	2022	3	2022-03-01	10908.448	20	DK
50.13088	8.920404	2022	11	2022-11-01	1071.31	3	DE
49.738609	10.486368	2022	9	2022-09-01	732.1651	1	DE
52.232147	6.375318	2022	7	2022-07-01	368.8048	1	All
51.680499	4.799648	2022	11	2022-11-01	123.074	1	NL
52.144943	5.397447	2022	5	2022-05-01	307.7595	1	NL
56.194949	10.23957	2022	5	2022-05-01	61802.248	102	All
50.770854	12.964178	2022	7	2022-07-01	750.5875	5	DE
47.793488	3.581682	2022	2	2022-02-01	150.788	1	FR
48.788841	8.835404	2022	7	2022-07-01	250.3945	1	DE
49.316801	8.888907	2022	5	2022-05-01	5132.2305	5	DE
51.877616	5.823901	2022	10	2022-10-01	1535.8049	1	NL
52.025953	5.522533	2022	9	2022-09-01	584.7909	1	NL
59.4367	10.6692	2022	5	2022-05-01	31269.784	53	All
52.370331	4.908169	2022	2	2022-02-01	104.598	1	All
50.919187	9.078371	2022	4	2022-04-01	250.0965	1	DE
61.796167	23.635288	2023	1	2023-01-01	300.343	1	FI
48.101752	11.824591	2022	7	2022-07-01	1732.6465	4	All
39.134222	16.075481	2022	12	2022-12-01	183.121	1	IT
52.37822	4.546253	2022	6	2022-06-01	2487.1835	1	All
53.520801	8.101249	2022	3	2022-03-01	813.1556	2	All
51.858669	5.935397	2022	7	2022-07-01	861.8592	1	All
43.348486	-7.192671	2022	12	2022-12-01	307.7595	1	ES
50.821458	11.967801	2022	5	2022-05-01	1339.2403	4	DE
52.513341	6.11713	2022	2	2022-02-01	215.4339	1	NL
53.149274	5.486985	2023	1	2023-01-01	284.0842	1	All
55.683379	12.56262	2022	10	2022-10-01	1199.792	1	All
48.040262	7.647146	2022	7	2022-07-01	3804.8858	7	DE
50.217306	12.133743	2022	3	2022-03-01	3918.4191	5	DE
65.087446	25.40927	2022	10	2022-10-01	8171.8341	14	All
51.496491	5.381997	2022	5	2022-05-01	368.6811	1	All
58.316699	6.95	2023	1	2023-01-01	3146.248	3	All
50.920263	10.684286	2022	11	2022-11-01	4546.096	13	DE
51.477721	9.615221	2022	4	2022-04-01	394.3285	1	All
41.665755	1.271192	2023	1	2023-01-01	215.454	1	All
52.180122	4.455315	2022	2	2022-02-01	245.9729	1	All
50.91064	6.964844	2022	3	2022-03-01	10430.5674	14	DE
42.314729	-7.889859	2022	3	2022-03-01	707.899	1	All
54.63134	9.855193	2022	2	2022-02-01	1689.7704	1	All
62.3667	6.033299	2022	4	2022-04-01	2021.4432	4	NO
51.872814	8.613153	2022	8	2022-08-01	3011.7851	6	All
